Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Product ID,Category,Sub_Category,Product,Quantity,Sales,Discount,Profit
1,CA-2016-152156,08-11-16,11-11-16,Second Class,CG-12520,Claire Gute,Consumer,Malaysia,Selangor,FUR-BO-10001798,Kitchen ,LG,Stove,2,261.96,0,41.9136
2,CA-2016-152156,08-11-16,11-11-16,Second Class,CG-12520,Claire Gute,Consumer,Malaysia,Selangor,FUR-CH-10000454,Kitchen ,Panasonic,Stove,3,731.94,0,219.582
3,CA-2016-138688,12-06-16,16-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,Malaysia,Selangor,OFF-LA-10000240,Living Room,Panasonic,Vacuum Cleaner,2,14.62,0,6.8714
4,US-2019-108966,11-10-19,18-10-19,Standard Class,SO-20335,Sean O'Donnell,Consumer,Malaysia,Selangor,FUR-TA-10000577,Kitchen ,Meck,Chimney Wood,5,957.5775,0.45,-383.031
5,US-2019-108966,11-10-19,18-10-19,Standard Class,SO-20335,Sean O'Donnell,Consumer,Malaysia,Selangor,OFF-ST-10000760,Living Room,Toshiba,Vacuum Cleaner,2,22.368,0.2,2.5164
6,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,FUR-FU-10001487,Kitchen ,Samsung,Microwave Oven,7,48.86,0,14.1694
7,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,OFF-AR-10002833,Living Room,LG,Wall Fan,4,7.28,0,1.9656
8,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,TEC-PH-10002275,Bathroom ,Toshiba,Water Heater,6,907.152,0.2,90.7152
9,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,OFF-BI-10003910,Living Room,Sharp,Ceiling Fan,3,18.504,0.2,5.7825
10,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,OFF-AP-10002892,Living Room,Samsung,TV_50(INCHES),5,114.9,0,34.47
11,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,FUR-TA-10001539,Kitchen ,Meck,Water Dispenser,9,1706.184,0.2,85.3092
12,CA-2018-115812,09-06-18,14-06-18,Standard Class,BH-11710,DataFlair,Consumer,Malaysia,Selangor,TEC-PH-10002033,Kitchen ,Toshiba,Refrigerator,4,911.424,0.2,68.3568
13,CA-2017-114412,15-04-17,20-04-17,Standard Class,AA-10480,Andrew Allen,Consumer,Malaysia,Selangor,OFF-PA-10002365,Living Room,LG,Ceiling Fan,3,15.552,0.2,5.4432
14,CA-2016-161389,05-12-16,10-12-16,Standard Class,IM-15070,Irene Maddox,Consumer,Malaysia,Selangor,OFF-BI-10003656,Living Room,Sharp,Ceiling Fan,3,407.976,0.2,132.5922
15,US-2019-118983,22-11-19,26-11-19,Standard Class,Panasonic-14815,Harold Pawlan,Home Office,Malaysia,Selangor,OFF-AP-10002311,Living Room,Samsung,TV_50(INCHES),5,68.81,0.8,-123.858
16,US-2019-118983,22-11-19,26-11-19,Standard Class,Panasonic-14815,Harold Pawlan,Home Office,Malaysia,Selangor,OFF-BI-10000756,Living Room,Sharp,Ceiling Fan,3,2.544,0.8,-3.816
17,CA-2018-105893,11-11-18,18-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,Malaysia,Selangor,OFF-ST-10004186,Living Room,Toshiba,Wall Fan,6,665.88,0,13.3176
18,CA-2018-167164,13-05-18,15-05-18,Second Class,AG-10270,Alejandro Grove,Consumer,Malaysia,Negeri Sembilan,OFF-ST-10000107,Living Room,Toshiba,Vacuum Cleaner,2,55.5,0,9.99
19,CA-2018-143336,27-08-18,01-09-18,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Malaysia,Selangor,OFF-AR-10003056,Living Room,LG,Vacuum Cleaner,2,8.56,0,2.4824
20,CA-2018-143336,27-08-18,01-09-18,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Malaysia,Selangor,TEC-PH-10001949,Bathroom ,Toshiba,Water Heater,3,213.48,0.2,16.011
21,CA-2018-143336,27-08-18,01-09-18,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Malaysia,Selangor,OFF-BI-10002215,Living Room,Sharp,Wall Fan,4,22.72,0.2,7.384
22,CA-2016-137330,09-12-16,13-12-16,Standard Class,KB-16585,Ken Black,Corporate,Malaysia,Pahang,OFF-AR-10000246,Living Room,LG,TV_75(INCHES),7,19.46,0,5.0596
23,CA-2016-137330,09-12-16,13-12-16,Standard Class,KB-16585,Ken Black,Corporate,Malaysia,Pahang,OFF-AP-10001492,Living Room,Samsung,TV_75(INCHES),7,60.34,0,15.6884
24,US-2017-156909,16-07-17,18-07-17,Second Class,SF-20065,Sandra Flanagan,Consumer,Malaysia,Selangor,FUR-CH-10002774,Kitchen ,Panasonic,Stove,2,71.372,0.3,-1.0196
25,CA-2019-106320,25-09-19,30-09-19,Standard Class,EB-13870,ESamsungly Burns,Consumer,Malaysia,Negeri Sembilan,FUR-TA-10000577,Kitchen ,Meck,Stove,3,1044.63,0,240.2649
26,CA-2016-121755,16-01-16,20-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,Malaysia,Selangor,OFF-BI-10001634,Living Room,Sharp,Vacuum Cleaner,2,11.648,0.2,4.2224
27,CA-2016-121755,16-01-16,20-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,Malaysia,Selangor,TEC-AC-10003027,Bathroom ,Hitachi,Water Heater,3,90.57,0,11.7741
28,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,FUR-BO-10004834,Kitchen ,LG,Microwave Oven,7,3083.43,0.5,-1665.0522
29,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-BI-10000474,Living Room,Sharp,Vacuum Cleaner,2,9.618,0.7,-7.0532
